seed,p_visible,n0,input_len,pred_len,method,label,loss_type,loss,train_loss,val_loss,mse,train_mse,val_mse,mae,train_mae,val_mae,num_parameters,status,error,raw_T,missing_timestamps,clean_T,train_ratio,val_ratio,test_ratio,train_end,val_end,test_end,train_block_T,val_block_T,test_block_T,adjacent_pairs_total,gap_pairs_total,drop_gap_windows,train_candidate_windows,train_windows,train_dropped_gap_windows,train_gap_pairs_in_block,train_first_window_start,train_last_window_start,val_candidate_windows,val_windows,val_dropped_gap_windows,val_gap_pairs_in_block,val_first_window_start,val_last_window_start,test_candidate_windows,test_windows,test_dropped_gap_windows,test_gap_pairs_in_block,test_first_window_start,test_last_window_start,loss_h1,val_loss_h1,train_loss_h1,loss_h2,val_loss_h2,train_loss_h2,loss_h3,val_loss_h3,train_loss_h3
50,0.3,62,12,3,dk_lp,Distance-k Laplacian polynomial,mse,70.23949432373047,60.62443161010742,61.68039321899414,70.23949432373047,60.62443161010742,61.68039321899414,,,,1080,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.80323028564453,39.65370559692383,40.65901565551758,71.74789428710938,63.226463317871094,62.58358383178711,94.1673583984375,82.1609878540039,78.63070678710938
50,0.3,62,12,3,rg_lp,Random-group Laplacian polynomial,mse,70.28070068359375,61.33784103393555,62.17201614379883,70.28070068359375,61.33784103393555,62.17201614379883,,,,432,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.78168869018555,39.78791809082031,40.912078857421875,71.74555969238281,63.66942596435547,63.27729415893555,94.31483459472656,83.0587158203125,79.82415771484375
50,0.3,62,12,3,rg_alg,Random-group algebra,mse,70.01122283935547,60.768131256103516,61.72641372680664,70.01122283935547,60.768131256103516,61.72641372680664,,,,3996,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.70522689819336,39.646636962890625,40.69459915161133,71.48200225830078,63.247528076171875,62.72582244873047,93.84645080566406,82.28508758544922,78.88398742675781
50,0.3,62,12,3,kron_lp,Kron Laplacian polynomial,mse,70.30772399902344,61.128482818603516,62.0084228515625,70.30772399902344,61.128482818603516,62.0084228515625,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.80479431152344,39.74153137207031,40.8554801940918,71.79826354980469,63.516300201416016,63.075191497802734,94.32010650634766,82.76744079589844,79.45476531982422
50,0.3,62,12,3,union_lp,Union Laplacian polynomial,mse,70.46595001220703,60.909847259521484,61.88084030151367,70.46595001220703,60.909847259521484,61.88084030151367,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.93886184692383,39.74760437011719,40.82347869873047,71.98646545410156,63.433773040771484,62.88544845581055,94.47251892089844,82.46115112304688,79.0206298828125
50,0.3,62,12,3,sffa,"(k,r)-SFFA",mse,70.12190246582031,60.06964111328125,61.275596618652344,70.12190246582031,60.06964111328125,61.275596618652344,,,,3996,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.788082122802734,39.55064392089844,40.464237213134766,71.65766143798828,62.85649108886719,62.049522399902344,93.91996002197266,81.41967010498047,77.69515991210938
50,0.4,82,12,3,ar,Node-wise AR on visible subgraph,mse,69.82708740234375,59.379661560058594,60.64724349975586,69.82708740234375,59.379661560058594,60.64724349975586,,,,2952,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.601409912109375,38.9756965637207,39.66004180908203,71.29022979736328,62.03903579711914,61.267311096191406,93.589599609375,80.927001953125,77.21163177490234
50,0.4,82,12,3,sub_lp,Subgraph Laplacian polynomial,mse,69.41535949707031,59.25233459472656,60.16337203979492,69.41535949707031,59.25233459472656,60.16337203979492,,,,144,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.397064208984375,38.755374908447266,39.6845817565918,70.90792083740234,61.5649299621582,61.161380767822266,92.94107818603516,80.16983032226562,76.91105651855469
50,0.4,82,12,3,dk_lp,Distance-k Laplacian polynomial,mse,69.31696319580078,58.696876525878906,59.81267166137695,69.31696319580078,58.696876525878906,59.81267166137695,,,,1080,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.3988151550293,38.6672477722168,39.474430084228516,70.84736633300781,61.25515365600586,60.617286682128906,92.70469665527344,79.515625,75.99890899658203
50,0.4,82,12,3,rg_lp,Random-group Laplacian polynomial,mse,69.4713363647461,59.33612823486328,60.24601364135742,69.4713363647461,59.33612823486328,60.24601364135742,,,,432,ok,,34272,0,34272,0.7,0.1,0.2,23990,27417,34272,23990,3427,6855,34271,0,1,23976,23976,0,0,0,23975,3413,3413,0,0,23990,27402,6841,6841,0,0,27417,34257,44.42340850830078,38.792816162109375,39.728023529052734,70.96101379394531,61.64424514770508,61.24317932128906,93.02958679199219,80.30098724365234,77.03718566894531
