p,p1_hidden_original_ratio,n0_first_run,m0_first_run,runs,seeds,method,label,rmse_mean,rmse_std,mse_mean,train_size,test_size,k,r,rmax,optimizer
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r5,1..10-union Laplacian polynomial LIM (deg≤5),0.11990102812997508,0.0064274619001193885,0.014413437586454813,200,200,10,5,6,lbfgs
0.4,0.1,128,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r6,1..10-union Laplacian polynomial LIM (deg≤6),0.11990102819608923,0.0064274641001736185,0.014413437627762506,200,200,10,6,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,subgraph_asymptotic_lmmse,Asymptotic subgraph numerical LMMSE,0.05151482181565718,0.0020295812293568633,0.0026574841466688102,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,numerical_lmmse,Subgraph numerical LMMSE,0.10600460419102649,0.004398247113559607,0.011254386229600932,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,distance_laplacian_poly,Distance-1..12 Laplacian polynomial (deg≤2),0.09937910983958956,0.009683373846200258,0.009960598428649952,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,random_group_algebra,"Random-group algebra (q=12, r=2)",0.08982062426971268,0.021887196824805125,0.008498888990563884,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,pure_sffa,"Pure distance-based SFFA (k=12, r=2)",0.08128981666273395,0.00617049386607799,0.006642301788157075,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r2,Induced Laplacian polynomial LIM (deg≤2),0.13540315776030204,0.023863644980042124,0.01884654132802139,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r3,Induced Laplacian polynomial LIM (deg≤3),0.12917171346393896,0.023946550627707928,0.01720142511747879,200,200,12,3,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r4,Induced Laplacian polynomial LIM (deg≤4),0.12915113883836277,0.024034104410269347,0.017199891020569402,200,200,12,4,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r5,Induced Laplacian polynomial LIM (deg≤5),0.12915452528372423,0.024033556859443937,0.01720074207104868,200,200,12,5,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r6,Induced Laplacian polynomial LIM (deg≤6),0.1291547056678375,0.024033753386883603,0.01720079716782112,200,200,12,6,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r2,Kron Laplacian polynomial LIM (deg≤2),0.12170730868973663,0.0165257079117294,0.015058458108284253,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r3,Kron Laplacian polynomial LIM (deg≤3),0.11521748549089117,0.014629746441016342,0.013467695495679305,200,200,12,3,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r4,Kron Laplacian polynomial LIM (deg≤4),0.1152375453770873,0.014646348915432409,0.013472755847433581,200,200,12,4,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r5,Kron Laplacian polynomial LIM (deg≤5),0.11523916732236457,0.014646613295765902,0.013473136638084074,200,200,12,5,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r6,Kron Laplacian polynomial LIM (deg≤6),0.11523827222435082,0.014647015170429588,0.013472940933316097,200,200,12,6,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r2,1..12-union Laplacian polynomial LIM (deg≤2),0.1244321648778874,0.009003655213014345,0.015556322882673109,200,200,12,2,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r3,1..12-union Laplacian polynomial LIM (deg≤3),0.12442709329408932,0.00899808993020161,0.015554970605768803,200,200,12,3,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r4,1..12-union Laplacian polynomial LIM (deg≤4),0.12442692683199688,0.008997957877714943,0.015554927042227324,200,200,12,4,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r5,1..12-union Laplacian polynomial LIM (deg≤5),0.12442691728084163,0.00899796382792683,0.01555492476175722,200,200,12,5,6,lbfgs
0.5,0.1,160,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r6,1..12-union Laplacian polynomial LIM (deg≤6),0.12442692062550957,0.008997968978318664,0.015554925677508167,200,200,12,6,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,subgraph_asymptotic_lmmse,Asymptotic subgraph numerical LMMSE,0.04492856095899898,0.0034449580713966322,0.0020292565523488,200,200,13,2,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,numerical_lmmse,Subgraph numerical LMMSE,0.11890227416741742,0.00937974258257104,0.014216932416007471,200,200,13,2,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,distance_laplacian_poly,Distance-1..13 Laplacian polynomial (deg≤2),0.09385961827167151,0.00541758149003393,0.008836043112384935,200,200,13,2,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,random_group_algebra,"Random-group algebra (q=13, r=2)",0.07381130575559039,0.004615421735077399,0.005467280763358614,200,200,13,2,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,pure_sffa,"Pure distance-based SFFA (k=13, r=2)",0.07563068452968477,0.00397110383588405,0.005734193141536534,200,200,13,2,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r2,Induced Laplacian polynomial LIM (deg≤2),0.11774991089131634,0.011687399837083121,0.0139879772983696,200,200,13,2,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r3,Induced Laplacian polynomial LIM (deg≤3),0.113963899035274,0.011010724627810947,0.013096882734468665,200,200,13,3,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r4,Induced Laplacian polynomial LIM (deg≤4),0.11397868294184774,0.01103498316311857,0.013100733933227535,200,200,13,4,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r5,Induced Laplacian polynomial LIM (deg≤5),0.11397917471209022,0.01103554752046705,0.013100857246218022,200,200,13,5,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,induced_poly_lim_r6,Induced Laplacian polynomial LIM (deg≤6),0.11397901482517384,0.011035926557781933,0.013100828328007078,200,200,13,6,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r2,Kron Laplacian polynomial LIM (deg≤2),0.10864808300811395,0.010899561218191647,0.011911326332612214,200,200,13,2,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r3,Kron Laplacian polynomial LIM (deg≤3),0.10761685864183472,0.009951979537079554,0.011670525970972439,200,200,13,3,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r4,Kron Laplacian polynomial LIM (deg≤4),0.10762269900183899,0.009954495260206121,0.011671828118737354,200,200,13,4,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r5,Kron Laplacian polynomial LIM (deg≤5),0.10762283642624078,0.00995456117920247,0.011671858879872812,200,200,13,5,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,kron_poly_lim_r6,Kron Laplacian polynomial LIM (deg≤6),0.1076228717363306,0.009954574132674759,0.011671866712321297,200,200,13,6,6,lbfgs
0.6,0.1,191,32,10,1;2;3;4;5;6;7;8;9;10,union_poly_lim_r2,1..13-union Laplacian polynomial LIM (deg≤2),0.1250586090851737,0.007026757889632787,0.015684093500113853,200,200,13,2,6,lbfgs
